date,person,translation,.polarity,p/n,Place
Fri Apr 30 15:49:48 +0000 2021,M_UsamaUsufzaE,@nimmzi Ia dunia me to 4 legs ka he hota hai 😂😂,0.0,0.0,Dubai
Fri Apr 30 15:49:49 +0000 2021,kabugiken,The Undertaker had the energy to move the chair so that The Big Show doesn't fall on it but still playing dead😂,0.0,0.1,Dubai
Fri Apr 30 15:49:50 +0000 2021,fdb24,@lloqn99 @oo_azan ليش. 🥺,0.0,0.0,الظاهرة
Fri Apr 30 15:49:52 +0000 2021,ll_67ll,https://t.co/zhiOhO6OSU,0.0,0.0,Abu Dhabi
Fri Apr 30 15:50:01 +0000 2021,kija_mazeni,@masoumebiigdeli @M_fr_7744 اینا خسته بشو نیستن,0.0,0.0,جمهوری اسلامی ایران
Fri Apr 30 15:50:05 +0000 2021,AtifTTS,اس دور کے لوگوں کی محبتیں نوافل کی طرح ھوتی ھیں ادا ھوگئیں تو ٹھیک، ورنہ کون سا فرض تھیں,0.0,0.0,Dubai
Fri Apr 30 15:50:07 +0000 2021,ll_67ll,ربنا آتنا في الدنيا حسنة و في الاخرة حسنة وقنا عذاب النار 🖤.,0.0,0.0,Abu Dhabi
Fri Apr 30 15:50:13 +0000 2021,davodrad1,@FardadFarahzad @znb_soleimany 😁😆,0.0,0.0,Islamic Republic of Iran
Fri Apr 30 15:50:13 +0000 2021,MrTech02,ہمت کریں اسٹیبلشمنٹ سے بھی لڑ کر دیکھ لیں،,0.0,0.0,Abu Dhabi
Fri Apr 30 15:50:16 +0000 2021,NasrtullahWisal,@RahmanG28526809 100%آمین ثمه آمین,0.0,0.0,Abu Dhabi
Fri Apr 30 15:50:24 +0000 2021,ll_67ll,اللهم صلّ وسلم على سيدنا محمد وعلى آله وصحبة أجمعين 🤍,0.0,0.0,Abu Dhabi
Fri Apr 30 15:50:24 +0000 2021,A0ssi, يَأْتِ بِهَا اللَّهُ ۚ إِنَّ اللَّهَ لَطِيفٌ خَبِيرٌ ساهم بما تجود به نفسك في #عتق_رقبه_راكان ولا تستحقر القليل… https://t.co/1l0iOiWeSZ,0.0,0.0,Kingdom of Saudi Arabia
Fri Apr 30 15:50:25 +0000 2021,majidyadollahz1,@foufooll 😁😍بک بده حالا شما,0.0,0.0,Islamic Republic of Iran
Fri Apr 30 15:50:25 +0000 2021,Menhhali,😂😂,0.0,0.0,Abu Dhabi
Fri Apr 30 15:50:28 +0000 2021,Rashid_Alkuwari,@qatnology نفس الدعايات تلحقني للحين😂,0.0,0.0,Doha
Fri Apr 30 15:50:32 +0000 2021,Mahsai74,@yekiazhamona آدم باید خودش غمو ناراحتی دور کنه ،وقتی به غم فکر کنی ۱۰۰ برابر دلت بیشتر میگیره ،واسه شاد بودنم باید قوی بود و لبخند زد🙂💪,0.0,0.0,Islamic Republic of Iran
Fri Apr 30 15:50:34 +0000 2021,zanjmoreh,محبوبم اگه سوپ ، آش و از این دست غذا هارو به عنوان یه وعده کامل نمی دونی نیا لطفا.,0.0,0.0,Islamic Republic of Iran
Fri Apr 30 15:50:43 +0000 2021,shahpourii,@SepehrK23 واقعا محشر بود. و به نظرم خیلی کم لطفی شده کلا به این سریال,0.0,0.0,Islamic Republic of Iran
Fri Apr 30 15:50:48 +0000 2021,newbieee20,@Harey75474476 Tara,0.0,0.0,Dubai
Fri Apr 30 15:50:49 +0000 2021,fdb24,@oo_azan ليت نشوف الوجهه ع حقيقتها😩,0.0,0.0,الظاهرة
Fri Apr 30 15:50:54 +0000 2021,wassaj_,@OuyaaneCazalS_ Mdrrrr en même temps y en a que 3 😂😂 la meilleure pour le pain c’est celle de la parisienne sinon b… https://t.co/Rv2rhYL98z,0.0,0.0,Dubaï
Fri Apr 30 15:50:55 +0000 2021,j__shj,@gfhd09750274 @ItsMe7md @Kuwaity__7r الحمدلله ما ننكر خيركم وللحين بأسم الكويت سواء مدارس او مستشفيات وثاني شي لا ي… https://t.co/Tx78FMAPgE,0.0,0.0,أبوظبي
Fri Apr 30 15:51:04 +0000 2021,iamricoredrendo,Gusto ko ng kare kare 😩,0.0,0.0,Abu Dhabi
Fri Apr 30 15:51:06 +0000 2021,psrx,@Sue_Only1 @milenialparadox May Her Soul Rest In Peace 🙏🏻Heartfelt Condolence to her family and friends🙏🏻,0.0,0.0,Dubai
Fri Apr 30 15:51:07 +0000 2021,aventus_qp,پایدار تا پایه دار ...@vandocrich@UN1ghtmar3@Sinfti_203@comment_gap@Rya_7hs@Amanj_emw@Leily_khanom… https://t.co/96gEK1hzfm,0.0,0.0,Islamic Republic of Iran
Fri Apr 30 15:51:08 +0000 2021,gayakhit,Just posted a video @ Abu Dhabi United Arab Emirates https://t.co/8Jo2Hd15Y1,0.0,0.0,Abu Dhabi
Fri Apr 30 15:51:11 +0000 2021,mkhaledi91,@Marwa_UAE @STaheri91 العظمة محتاجة عظماء وأنا شخص بسيط.,0.0,0.0,Abu Dhabi
Fri Apr 30 15:51:11 +0000 2021,Mahsai74,@yekiazhamona ممنون کاش ادما بفهمن🙂,0.0,0.0,Islamic Republic of Iran
Fri Apr 30 15:51:24 +0000 2021,seyedmohamad_dn,سلام انقلابی انقلاب به تو چیزی نمیدهد تو باید اورده داشته باشی همانطور که مردم انقلابی پای کار امدند ودادن ازمال تا جان,0.0,0.0,جمهوری اسلامی ایران
Fri Apr 30 15:51:26 +0000 2021,MJalkaabi,يستاهلون الدعم 🔥🔥,0.0,0.0,Dubai
